RDF,Out_Degree,In_Degree,Degree
Q1168,23,15,38
Q1169,16,2,18
Q1171,22,11,33
Q1173,19,2,21
Q1174,22,9,31
Q1177,20,16,36
Q1179,20,5,25
Q1180,13,8,21
Q1183,32,23,55
Q1184,29,23,52
Q1185,32,21,53
Q1186,21,9,30
Q1188,34,25,59
Q1189,0,2,2
Q1190,0,6,6
Q1191,40,32,72
Q1193,15,8,23
Q1194,17,11,28
Q1195,0,10,10
Q1196,12,6,18
Q1197,27,9,36
Q1198,18,15,33
Q1199,17,10,27
Q1200,28,8,36
Q1201,15,7,22
Q1202,18,7,25
Q1203,65,6,71
Q1204,39,41,80
Q1205,26,9,35
Q1206,13,8,21
Q1207,25,14,39
Q1208,22,5,27
Q1209,23,10,33
Q1210,26,10,36
Q1211,25,16,41
Q1212,34,15,49
Q1214,26,18,44
Q1216,29,9,38
Q1218,30,21,51
Q1221,28,13,41
Q1222,12,8,20
Q1223,41,47,88
Q1225,33,10,43
Q1227,39,20,59
Q1237,12,11,23
Q1239,16,7,23
Q1243,14,7,21
Q1246,19,8,27
Q1247,26,3,29
Q1250,11,6,17
Q1256,18,3,21
Q1261,34,47,81
Q1263,13,5,18
Q1270,6,0,6
Q1273,15,4,19
Q1276,69,4,73
Q1279,14,4,18
Q1280,15,1,16
Q1282,10,8,18
Q1284,13,4,17
Q1286,30,6,36
Q1289,15,2,17
Q1290,34,5,39
Q1295,26,3,29
Q1296,26,5,31
Q1297,24,318,342
Q1299,39,42,81
Q1308,18,2,20
Q1309,18,2,20
Q1310,14,4,18
Q1321,32,298,330
Q1325,37,1,38
Q1335,14,3,17
Q1339,43,3,46
Q1342,22,62,84
Q1344,13,44,57
Q1345,23,117,140
Q1348,16,20,36
Q1352,15,24,39
Q1353,37,34,71
Q1354,16,5,21
Q1355,18,8,26
Q1356,53,44,97
Q1361,13,9,22
Q1362,10,3,13
Q1363,0,13,13
Q1364,0,5,5
Q1370,67,70,137
Q1371,29,12,41
Q1380,15,13,28
Q1384,89,138,227
Q1387,21,7,28
Q1391,48,42,90
Q1393,24,14,38
Q1394,51,9,60
Q1397,55,48,103
Q1398,22,6,28
Q1400,74,94,168
Q1405,28,6,34
Q1406,18,9,27
Q1408,44,150,194
Q1410,26,11,37
Q1412,12,16,28
Q1415,32,16,48
Q1418,18,4,22
Q1420,18,12,30
Q1422,12,2,14
Q1426,22,4,26
Q1428,33,49,82
Q1435,23,5,28
Q1437,26,22,48
Q1438,15,3,18
Q1439,45,84,129
Q1443,6,5,11
Q1444,5,38,43
Q1445,24,14,38
Q1447,18,4,22
Q1449,22,7,29
Q1450,37,4,41
Q1452,9,5,14
Q1454,38,45,83
Q1455,4,9,13
Q1456,29,32,61
Q1457,6,0,6
Q1458,10,2,12
Q1460,15,13,28
Q1461,24,7,31
Q1462,15,3,18
Q1467,4,1,5
Q1472,12,3,15
Q1475,6,6,12
Q1479,15,5,20
Q1485,10,3,13
Q1486,23,25,48
Q1489,24,22,46
Q1490,42,82,124
Q1492,20,20,40
Q1494,25,14,39
Q1497,16,2,18
Q1498,35,18,53
Q1499,10,9,19
Q1502,0,7,7
Q1505,19,14,33
Q1508,6,2,8
Q1509,26,33,59
Q1511,47,3,50
Q1512,36,7,43
Q1513,13,2,15
Q1514,30,1,31
Q1515,9,3,12
Q1522,24,72,96
Q1524,34,18,52
Q1527,45,27,72
Q1530,21,3,24
Q1533,12,4,16
Q1537,33,38,71
Q1538,13,5,18
Q1541,31,5,36
Q1543,8,4,12
Q1545,38,5,43
Q1546,41,14,55
Q1553,31,14,45
Q1555,10,4,14
Q1558,30,27,57
Q1563,14,15,29
Q1568,23,161,184
Q1571,13,20,33
Q1581,31,30,61
Q1588,27,21,48
Q1599,0,10,10
Q1603,25,18,43
Q1612,26,14,40
Q1617,19,33,52
Q1649,24,25,49
Q1653,20,0,20
Q1663,13,2,15
Q1693,25,2,27
Q1697,9,3,12
Q1698,40,2,42
Q1707,27,7,34
Q1711,30,4,34
Q1715,30,12,42
Q1720,32,5,37
Q1721,24,2,26
Q1726,42,46,88
Q1729,32,4,36
Q1731,32,8,40
Q1733,38,5,43
Q1734,6,16,22
Q1735,25,4,29
Q1741,49,60,109
Q1744,84,28,112
Q1748,19,25,44
Q1754,22,30,52
Q1757,27,7,34
Q1761,24,57,81
Q1768,42,4,46
Q1770,25,2,27
Q1773,31,6,37
Q1779,32,2,34
Q1780,27,4,31
Q1781,22,34,56
Q1792,28,8,36
Q1794,44,21,65
Q1800,8,2,10
Q1841,6,152,158
Q1842,16,4,20
Q1845,23,1,24
Q1850,10,2,12
Q1854,14,7,21
Q1858,14,3,17
Q1860,101,8022,8123
Q1861,20,17,37
Q1865,12,5,17
Q1867,12,8,20
Q1874,29,4,33
Q1886,6,1,7
Q1889,8,5,13
Q1891,23,6,29
Q1893,5,2,7
Q1897,19,4,23
Q1899,39,12,51
Q1900,6,2,8
Q1903,17,3,20
Q1904,34,37,71
Q1926,25,0,25
Q1930,18,37,55
Q1948,30,10,40
Q1951,30,25,55
Q1952,22,12,34
Q1953,18,5,23
Q1965,21,10,31
Q1973,38,37,75
Q1974,45,0,45
Q1978,22,6,28
Q1979,24,0,24
Q1989,25,12,37
Q1995,2,5,7
Q2001,44,36,80
Q2003,20,5,25
Q2007,32,19,51
Q2009,13,6,19
Q2018,7,1,8
Q2020,6,6,12
Q2023,13,8,21
Q2028,20,4,24
Q2037,7,2,9
Q2042,31,4,35
Q2044,27,25,52
Q2052,5,2,7
Q2066,32,3,35
Q2071,47,35,82
Q2074,7,3,10
Q2079,32,14,46
Q2082,10,4,14
Q2085,112,5,117
Q2090,31,4,35
Q2095,9,71,80
Q2096,16,11,27
Q2100,18,2,20
Q2103,20,7,27
Q2107,16,2,18
Q2119,40,4,44
Q2123,10,5,15
Q2127,10,2,12
Q2132,13,9,22
Q2135,11,13,24
Q2138,8,3,11
Q2141,12,6,18
Q2145,15,8,23
Q2163,1,10,11
Q2167,10,3,13
Q2172,1,4,5
Q2183,1,8,9
Q2184,27,13,40
Q2201,37,1,38
Q2204,1,88,89
Q2212,2,90,92
Q2251,13,1,14
