Title,Description,MDI,URL,Alias,RDF
Order of Merit of the Republic of Poland,order,/m/098j86,https://en.wikipedia.org/wiki/Order_of_Merit_of_the_Republic_of_Poland,Order Zasługi Rzeczypospolitej Polskiej,Q93982
Royal Society of Canada,academy in Canada,/m/02cb_9,https://en.wikipedia.org/wiki/Royal_Society_of_Canada,Société royale du Canada|The Royal Society of Canada|Societe royale du Canada|RSC|rsc-src.ca,Q94301
Order of the White Eagle,Royal Order in the Kingdom of Serbia and the Kingdom of Yugoslavia,/m/0dknds,https://en.wikipedia.org/wiki/Order_of_the_White_Eagle_(Serbia),,Q94445
Clinton County,"county in Michigan, United States",/m/0frdg,"https://en.wikipedia.org/wiki/Clinton_County,_Michigan","Clinton County, Michigan|Clinton County, MI",Q94669
Sigourney Weaver,American actress,/m/0h96g,https://en.wikipedia.org/wiki/Sigourney_Weaver,Susan Alexandra Weaver,Q102124
screenplay,written work by screenwriters for a film or television program,/m/0lcvh,https://en.wikipedia.org/wiki/Screenplay,scenario|film script|movie script|script|motion picture play|motion picture screenplay|motion picture script|screen play|Motion picture plays,Q103076
East Prussia,province of Prussia,/m/0hyyq,https://en.wikipedia.org/wiki/East_Prussia,,Q103801
Harry Warner,American film studio executive (1881-1958),/m/04qys9,https://en.wikipedia.org/wiki/Harry_Warner,Harry Morris Warner|Harry M. Warner|H. M. Warner,Q104161
Christopher Lambert,French-American actor,/m/0bkrj,https://en.wikipedia.org/wiki/Christopher_Lambert,Christophe Lambert|Christophe Guy Denis Lambert-Lamond|Christophe Guy Denis Lambert,Q105158
Kingdom of Wessex,Anglo-Saxon kingdom in the south of Great Britain,/m/084gz,https://en.wikipedia.org/wiki/Wessex,Kingdom of the West Saxons|Wessex,Q105313
anthology,collection of written creative works chosen by the compiler,/m/01tz3c,https://en.wikipedia.org/wiki/Anthology,compilation,Q105420
Saturn Award,annual American film awards,/m/02g2mc,https://en.wikipedia.org/wiki/Saturn_Awards,,Q105447
Simone Signoret,French actress (1921-1985),/m/0gsj2,https://en.wikipedia.org/wiki/Simone_Signoret,Simone Henriette Charlotte Kaminker,Q106126
House of Plantagenet,English royal dynasty in medieval England,/m/02p4pt3,https://en.wikipedia.org/wiki/House_of_Plantagenet,Plantagenet dynasty|Angevin dynasty|Plantagenets,Q106151
Jean-Louis Trintignant,French actor,/m/014dy_,https://en.wikipedia.org/wiki/Jean-Louis_Trintignant,Jean-Louis Xavier Trintignant,Q106204
Daniel Auteuil,French actor and director,/m/01vwr9,https://en.wikipedia.org/wiki/Daniel_Auteuil,,Q106303
Annie Girardot,French actress (1931-2011),/m/07bptr,https://en.wikipedia.org/wiki/Annie_Girardot,"Annie Suzanne Girardot|Annie-Suzanne Girardot|Girardot, Annie",Q106443
Emmanuelle Béart,French film actress,/m/016nhj,https://en.wikipedia.org/wiki/Emmanuelle_B%C3%A9art,Emmanuelle Béhart-Hasson|Emmanuelle Beart|Emmanuelle Behart-Hasson,Q106458
Philippe Noiret,French actor,/m/056z6_,https://en.wikipedia.org/wiki/Philippe_Noiret,,Q106482
Nathalie Baye,French actress,/m/0d9mt_,https://en.wikipedia.org/wiki/Nathalie_Baye,Nathalie Baye,Q106573
Patrice Leconte,French film director and screenwriter,/m/040nss,https://en.wikipedia.org/wiki/Patrice_Leconte,,Q106709
Koine Greek,common dialect of Greek spoken and written in the ancient world,/m/0hc9z,https://en.wikipedia.org/wiki/Koine_Greek,Alexandrian dialect|common Attic|Hellenistic Greek|Biblical Greek|New Testament Greek|Ecclesiastical Greek|Patristic Greek|Koinè Greek|Koinè,Q107358
federated state,territorial and constitutional community forming part of a federal union,/m/01764b,https://en.wikipedia.org/wiki/Federated_state,state of a federation|state in a federation|state|federal state|constituent state,Q107390
Gwynedd,"principal area and county in north-west Wales, United Kingdom",/m/0dt5k,https://en.wikipedia.org/wiki/Gwynedd,County of Gwynedd|Gwynedd County,Q109128
MTV Movie & TV Awards,American film award show presented on MTV,/m/02mys0,https://en.wikipedia.org/wiki/MTV_Movie_%26_TV_Awards,MTV Movie Awards,Q110145
Maui County,"county in Hawaii, United States",/m/0lmgy,"https://en.wikipedia.org/wiki/Maui_County,_Hawaii","Maui County, Hawaii|Maui|County of Maui|Maui County, HI|Maui County, Hawaiʻi",Q111409
DeKalb County,"county in Illinois, United States",/m/0nvs5,"https://en.wikipedia.org/wiki/DeKalb_County,_Illinois","DeKalb County, Illinois|De Kalb County|De Kalb County, Illinois|DeKalb County, IL",Q111613
island country,state whose primary territory consists of one or more islands or parts of islands,/m/02lj11,https://en.wikipedia.org/wiki/Island_country,borderless country|borderless state|island state|borderless nation|island nation,Q112099
House of Romanov,imperial dynasty of Russia from 1613 to 1762,/m/06jtx,https://en.wikipedia.org/wiki/House_of_Romanov,Romanov|Romanoff|House of Romanoff,Q112707
Hungarian Order of Merit,"order,  1991–",/m/0j9p7h1,https://en.wikipedia.org/wiki/Hungarian_Order_of_Merit,Order of Merit of the Republic of Hungary|Order of Merit (Hungary),Q113068
